Source,Domain,Base Domain,Canonical URL,Live,Redirect,Redirect To
EoT,achecker.grantsolutions.gov,grantsolutions.gov,https://achecker.grantsolutions.gov,True,False,
EoT,achilles.nascom.nasa.gov,nasa.gov,https://achilles.nascom.nasa.gov,True,False,
HTTPS,achp.gov,achp.gov,http://achp.gov,True,False,
Censys,acims.faa.gov,faa.gov,https://acims.faa.gov,True,False,
HTTPS,acl.gov,acl.gov,https://acl.gov,True,False,
Censys,acme-ea.ornl.gov,ornl.gov,https://acme-ea.ornl.gov,True,False,
Censys,acme-svn2.ornl.gov,ornl.gov,https://acme-svn2.ornl.gov,True,False,
Censys,acms.acpt.research.gov,research.gov,http://acms.acpt.research.gov,True,False,
EoT,acms.aphis.usda.gov,usda.gov,https://acms.aphis.usda.gov,True,False,
Censys,acms.research.gov,research.gov,http://acms.research.gov,True,False,
Censys,acmt.bis.doc.gov,doc.gov,https://acmt.bis.doc.gov,True,False,
EoT,acocahps.cms.gov,cms.gov,http://acocahps.cms.gov,True,False,
EoT,acode-browser.usatlas.bnl.gov,bnl.gov,http://acode-browser.usatlas.bnl.gov,True,False,
EoT,acode-browser2.usatlas.bnl.gov,bnl.gov,http://acode-browser2.usatlas.bnl.gov,True,False,
Censys,acpssw.gsfc.nasa.gov,nasa.gov,https://acpssw.gsfc.nasa.gov,True,False,
EoT,acq-map.oamp.od.nih.gov,nih.gov,http://acq-map.oamp.od.nih.gov,True,False,
EoT,acq-map.od.nih.gov,nih.gov,https://acq-map.od.nih.gov,True,False,
EoT,acqp2.nasa.gov,nasa.gov,http://acqp2.nasa.gov,True,False,
DAP,acquia-dev-bts.dot.gov,dot.gov,http://acquia-dev-bts.dot.gov,True,False,
DAP,acquia-stage-bts.dot.gov,dot.gov,http://acquia-stage-bts.dot.gov,True,False,
DAP,acquia-test-bts.dot.gov,dot.gov,http://acquia-test-bts.dot.gov,True,False,
HTTPS,acquisition.gov,acquisition.gov,https://www.acquisition.gov,True,False,
EoT,acquisition.jpl.nasa.gov,nasa.gov,http://acquisition.jpl.nasa.gov,True,False,
EoT,acquisitionacademy.va.gov,va.gov,http://www.acquisitionacademy.va.gov,True,False,
EoT,acronyms.lanl.gov,lanl.gov,http://acronyms.lanl.gov,True,False,
EoT,acronyms.pmel.noaa.gov,noaa.gov,http://acronyms.pmel.noaa.gov,True,False,
Censys,acrspts.state.gov,state.gov,http://acrspts.state.gov,True,False,
Censys,acrsqa.state.gov,state.gov,http://acrsqa.state.gov,True,False,
EoT,act-america.larc.nasa.gov,nasa.gov,https://act-america.larc.nasa.gov,True,False,
Censys,active.cdc.gov,cdc.gov,http://active.cdc.gov,True,False,
Censys,active1.cdc.gov,cdc.gov,http://active1.cdc.gov,True,False,
Censys,activecho.cit.nih.gov,nih.gov,https://activecho.cit.nih.gov,True,False,
Censys,activesync.hhs.gov,hhs.gov,http://activesync.hhs.gov,True,False,
Censys,activesync.hudoig.gov,hudoig.gov,https://activesync.hudoig.gov,True,False,
EoT,actlibrary.tc.faa.gov,faa.gov,http://actlibrary.tc.faa.gov,True,False,
Censys,actmeetingserver.hhs.gov,hhs.gov,https://actmeetingserver.hhs.gov,True,False,
EoT,actor.epa.gov,epa.gov,https://actor.epa.gov,True,False,
Censys,actraining.ninds.nih.gov,nih.gov,https://actraining.ninds.nih.gov,True,False,
EoT,actribe.nsopw.gov,nsopw.gov,http://actribe.nsopw.gov,True,False,
Censys,acts-fqt.etc.uspto.gov,uspto.gov,http://acts-fqt.etc.uspto.gov,True,False,
EoT,acts.grc.nasa.gov,nasa.gov,http://acts.grc.nasa.gov,True,False,
EoT,acts.uspto.gov,uspto.gov,http://acts.uspto.gov,True,False,
EoT,actuary.defense.gov,defense.gov,http://actuary.defense.gov,True,False,
HTTPS,acus.gov,acus.gov,https://www.acus.gov,True,False,
HTTPS,acwi.gov,acwi.gov,https://acwi.gov,True,False,
EoT,acy.tc.faa.gov,faa.gov,https://acy.tc.faa.gov,True,False,
EoT,ad-esh.fnal.gov,fnal.gov,http://ad-esh.fnal.gov,True,False,
EoT,ad.hq.nasa.gov,nasa.gov,http://ad.hq.nasa.gov,True,False,
HTTPS,ada.gov,ada.gov,https://www.ada.gov,True,False,
EoT,adams.house.gov,house.gov,http://adams.house.gov,True,False,
