Domain,Base Domain,Canonical URL,Agency,Branch,Participates in DAP?
pso.ahrq.gov,ahrq.gov,https://pso.ahrq.gov,Department of Health And Human Services,Executive,Yes
qsrs.ahrq.gov,ahrq.gov,http://qsrs.ahrq.gov,Department of Health And Human Services,Executive,No
qualityindicators.ahrq.gov,ahrq.gov,http://qualityindicators.ahrq.gov,Department of Health And Human Services,Executive,Yes
qualitymeasures.ahrq.gov,ahrq.gov,https://qualitymeasures.ahrq.gov,Department of Health And Human Services,Executive,Yes
search.ahrq.gov,ahrq.gov,http://search.ahrq.gov,Department of Health And Human Services,Executive,No
sopsdatabase.ahrq.gov,ahrq.gov,https://sopsdatabase.ahrq.gov,Department of Health And Human Services,Executive,Yes
srdr.ahrq.gov,ahrq.gov,http://srdr.ahrq.gov,Department of Health And Human Services,Executive,Yes
srdr.training.ahrq.gov,ahrq.gov,http://srdr.training.ahrq.gov,Department of Health And Human Services,Executive,Yes
statesnapshots.ahrq.gov,ahrq.gov,https://statesnapshots.ahrq.gov,Department of Health And Human Services,Executive,No
subscriptions.ahrq.gov,ahrq.gov,https://subscriptions.ahrq.gov,Department of Health And Human Services,Executive,No
talkingquality.ahrq.gov,ahrq.gov,http://www.talkingquality.ahrq.gov,Department of Health And Human Services,Executive,No
teamstepps.ahrq.gov,ahrq.gov,http://www.teamstepps.ahrq.gov,Department of Health And Human Services,Executive,No
ushik.ahrq.gov,ahrq.gov,https://ushik.ahrq.gov,Department of Health And Human Services,Executive,Yes
view.ahrq.gov,ahrq.gov,https://view.ahrq.gov,Department of Health And Human Services,Executive,No
voltage-pp-0000.ahrq.gov,ahrq.gov,http://voltage-pp-0000.ahrq.gov,Department of Health And Human Services,Executive,No
webmm.ahrq.gov,ahrq.gov,https://webmm.ahrq.gov,Department of Health And Human Services,Executive,No
webmm2.ahrq.gov,ahrq.gov,https://webmm2.ahrq.gov,Department of Health And Human Services,Executive,No
www.cahps.ahrq.gov,ahrq.gov,http://www.cahps.ahrq.gov,Department of Health And Human Services,Executive,No
www.cahpsdatabase.ahrq.gov,ahrq.gov,https://www.cahpsdatabase.ahrq.gov,Department of Health And Human Services,Executive,No
www.ce.effectivehealthcare.ahrq.gov,ahrq.gov,https://www.ce.effectivehealthcare.ahrq.gov,Department of Health And Human Services,Executive,No
www.cpsi.ahrq.gov,ahrq.gov,http://www.cpsi.ahrq.gov,Department of Health And Human Services,Executive,No
www.distributor.hcup-us.ahrq.gov,ahrq.gov,https://www.distributor.hcup-us.ahrq.gov,Department of Health And Human Services,Executive,No
www.effectivehealthcare.ahrq.gov,ahrq.gov,http://www.effectivehealthcare.ahrq.gov,Department of Health And Human Services,Executive,No
www.epss.ahrq.gov,ahrq.gov,http://www.epss.ahrq.gov,Department of Health And Human Services,Executive,No
www.hcup-us.ahrq.gov,ahrq.gov,https://www.hcup-us.ahrq.gov,Department of Health And Human Services,Executive,No
www.hcup.ahrq.gov,ahrq.gov,http://www.hcup.ahrq.gov,Department of Health And Human Services,Executive,No
www.hcupnet.ahrq.gov,ahrq.gov,http://www.hcupnet.ahrq.gov,Department of Health And Human Services,Executive,No
www.healthcare411.ahrq.gov,ahrq.gov,http://www.healthcare411.ahrq.gov,Department of Health And Human Services,Executive,No
www.healthit.ahrq.gov,ahrq.gov,https://www.healthit.ahrq.gov,Department of Health And Human Services,Executive,No
www.innovations.ahrq.gov,ahrq.gov,https://www.innovations.ahrq.gov,Department of Health And Human Services,Executive,No
www.integrationacademy.ahrq.gov,ahrq.gov,http://www.integrationacademy.ahrq.gov,Department of Health And Human Services,Executive,No
www.list.ahrq.gov,ahrq.gov,http://www.list.ahrq.gov,Department of Health And Human Services,Executive,No
www.meps.ahrq.gov,ahrq.gov,http://www.meps.ahrq.gov,Department of Health And Human Services,Executive,No
